season,player,team,position,games,minutes,fga,fgm,fta,ftm,pts,ast,reb,stl,blk,tov
2019-20,Domantas Sabonis,IND,UNK,62,34.8,13.7,7.4,4.8,3.5,18.5,5.0,12.4,0.8,0.5,2.7
2019-20,Donovan Mitchell,UTA,UNK,69,34.3,19.4,8.7,4.7,4.0,24.0,4.3,4.4,1.0,0.2,2.7
2019-20,Donta Hall,BKN,UNK,9,14.8,2.4,1.7,2.0,1.0,4.3,0.4,4.2,0.3,0.7,0.6
2019-20,Donte DiVincenzo,MIL,UNK,66,23.0,7.7,3.5,1.3,1.0,9.2,2.3,4.8,1.3,0.3,1.4
2019-20,Dorian Finney-Smith,DAL,UNK,71,29.9,7.4,3.4,1.5,1.1,9.5,1.6,5.7,0.6,0.5,1.0
2019-20,Doug McDermott,IND,UNK,69,19.9,7.9,3.9,0.8,0.7,10.3,1.1,2.5,0.2,0.1,0.6
2019-20,Dragan Bender,GSW,UNK,16,17.8,5.8,2.6,0.9,0.6,6.7,1.8,4.6,0.3,0.6,1.3
2019-20,Draymond Green,GSW,UNK,43,28.4,7.3,2.9,1.9,1.5,8.0,6.2,6.2,1.4,0.8,2.3
2019-20,Drew Eubanks,SAS,UNK,22,12.4,3.0,2.0,1.2,0.9,4.9,0.7,3.9,0.2,0.8,1.0
2019-20,Duncan Robinson,MIA,UNK,73,29.7,9.4,4.4,1.0,0.9,13.5,1.4,3.2,0.5,0.3,1.0
2019-20,Dusty Hannahs,MEM,UNK,2,6.7,4.5,2.0,1.0,1.0,6.0,0.0,0.5,0.0,0.0,0.0
2019-20,Dwayne Bacon,CHA,UNK,39,17.6,6.3,2.2,1.4,0.9,5.7,1.3,2.6,0.6,0.1,0.9
2019-20,Dwight Howard,LAL,UNK,69,18.9,4.0,2.9,3.1,1.6,7.5,0.7,7.3,0.4,1.1,1.2
2019-20,Dwight Powell,DAL,UNK,40,26.5,5.7,3.7,2.8,1.9,9.4,1.5,5.7,0.9,0.6,0.9
2019-20,Dzanan Musa,BKN,UNK,40,12.2,4.3,1.6,1.5,1.1,4.8,1.1,2.2,0.4,0.0,0.9
2019-20,E'Twaun Moore,NOP,UNK,56,18.2,7.8,3.3,0.8,0.6,8.3,1.4,2.3,0.6,0.2,0.7
2019-20,Ed Davis,UTA,UNK,28,10.8,1.6,0.8,0.5,0.3,1.8,0.4,3.8,0.4,0.3,0.5
2019-20,Edmond Sumner,IND,UNK,31,14.4,4.6,2.0,0.9,0.5,4.9,1.8,1.5,0.5,0.3,0.7
2019-20,Elfrid Payton,NYK,UNK,45,27.7,9.8,4.3,1.9,1.1,10.0,7.2,4.7,1.6,0.4,2.1
2019-20,Elie Okobo,PHX,UNK,55,13.1,3.3,1.3,1.3,0.9,4.0,2.1,1.6,0.4,0.1,0.7
2019-20,Emmanuel Mudiay,UTA,UNK,54,15.7,6.1,2.8,1.5,1.2,7.3,2.1,2.3,0.4,0.2,1.4
2019-20,Enes Freedom,BOS,UNK,58,17.0,6.0,3.4,1.7,1.2,8.1,1.0,7.4,0.4,0.7,1.0
2019-20,Eric Bledsoe,MIL,UNK,61,27.0,11.5,5.5,3.5,2.8,14.9,5.4,4.6,0.9,0.4,2.4
2019-20,Eric Gordon,HOU,UNK,36,28.2,12.9,4.8,3.0,2.3,14.4,1.5,2.0,0.6,0.4,1.2
2019-20,Eric Mika,SAC,UNK,1,19.0,3.0,2.0,2.0,2.0,6.0,0.0,7.0,0.0,0.0,0.0
2019-20,Eric Paschall,GSW,UNK,60,27.6,10.7,5.3,3.5,2.7,14.0,2.1,4.6,0.5,0.2,1.6
2019-20,Ersan Ilyasova,MIL,UNK,63,15.7,5.0,2.3,1.4,1.1,6.6,0.8,4.8,0.4,0.3,0.5
2019-20,Evan Fournier,ORL,UNK,66,31.4,14.1,6.6,3.3,2.7,18.5,3.2,2.6,1.1,0.2,1.9
2019-20,Evan Turner,MIN,UNK,19,13.2,3.5,1.3,0.7,0.6,3.3,2.0,2.0,0.5,0.4,1.4
2019-20,Frank Jackson,NOP,UNK,59,13.5,5.6,2.3,1.3,0.9,6.3,1.0,1.4,0.3,0.1,0.8
2019-20,Frank Kaminsky,PHX,UNK,39,19.9,7.9,3.5,2.3,1.6,9.7,1.9,4.5,0.4,0.3,0.9
2019-20,Frank Mason III,MIL,UNK,9,13.1,5.7,2.6,1.9,1.1,6.9,3.2,2.1,0.6,0.1,1.2
2019-20,Frank Ntilikina,NYK,UNK,57,20.8,5.8,2.3,1.0,0.9,6.3,3.0,2.1,0.9,0.3,1.2
2019-20,Fred VanVleet,TOR,UNK,54,35.7,14.3,5.9,3.7,3.1,17.6,6.6,3.8,1.9,0.3,2.2
2019-20,Furkan Korkmaz,PHI,UNK,72,21.7,7.8,3.4,1.4,1.1,9.8,1.1,2.3,0.6,0.2,0.8
2019-20,Gabe Vincent,MIA,UNK,9,9.2,4.1,0.9,0.0,0.0,2.4,0.7,0.6,0.6,0.0,0.1
2019-20,Garrett Temple,BKN,UNK,62,27.9,9.5,3.6,1.4,1.1,10.3,2.5,3.5,0.8,0.5,1.0
2019-20,Garrison Mathews,WAS,UNK,18,12.6,3.1,1.3,1.9,1.7,5.4,0.6,1.3,0.4,0.1,0.4
2019-20,Gary Clark,ORL,UNK,42,13.5,3.2,1.3,0.2,0.2,3.7,0.4,2.6,0.1,0.5,0.2
2019-20,Gary Harris,DEN,UNK,56,31.8,9.3,3.9,1.6,1.3,10.4,2.1,2.9,1.4,0.3,1.1
2019-20,Gary Payton II,WAS,UNK,29,14.9,4.0,1.7,0.3,0.1,3.9,1.7,2.8,1.1,0.2,0.7
2019-20,Gary Trent Jr.,POR,UNK,61,21.8,7.2,3.2,0.7,0.6,8.9,1.0,1.6,0.8,0.3,0.3
